Order_ID,Order_Date,Customer_ID,Seller_ID,Order_Status,Payment_Method,Shipping_Mode
O0000038,2024-01-23,C01797,S0002,Completed,Net Banking,Standard
O0000039,2025-02-27,C00500,S0017,Completed,Credit Card,Standard
O0000040,2024-01-02,C01827,S0087,Completed,Credit Card,Same Day
O0000041,2024-04-30,C00277,S0092,Returned,Debit Card,Same Day
O0000042,2024-11-08,C01046,S0036,Completed,UPI,Same Day
O0000043,2024-12-14,C01047,S0053,Completed,Debit Card,Same Day
O0000044,2026-07-30,C01816,S0005,Completed,COD,Same Day
O0000045,2024-12-12,C00773,S0066,Completed,UPI,Standard
O0000046,2026-04-08,C00959,S0077,Completed,UPI,Express
O0000047,2025-07-03,C01248,S0019,Completed,UPI,Express
O0000048,2024-09-28,C00854,S0055,Cancelled,Debit Card,Express
O0000049,2026-03-19,C00519,S0009,Completed,Wallet,Standard
O0000050,2025-12-03,C01952,S0095,Completed,Net Banking,Standard
O0000051,2025-04-07,C00108,S0026,Completed,COD,Same Day
O0000052,2025-05-20,C01805,S0051,Completed,UPI,Same Day
O0000053,2025-06-16,C01922,S0018,Returned,Wallet,Standard
O0000054,2024-07-15,C01638,S0063,Pending,Credit Card,Same Day
O0000055,2024-07-31,C01568,S0069,Completed,UPI,Standard
O0000056,2025-10-29,C00195,S0074,Completed,Debit Card,Same Day
O0000057,2024-08-17,C00434,S0016,Completed,COD,Same Day
O0000058,2026-03-08,C01508,S0058,Completed,Net Banking,Standard
O0000059,2025-05-29,C00231,S0073,Completed,UPI,Standard
O0000060,2025-07-10,C01518,S0018,Completed,COD,Same Day
O0000061,2025-04-28,C00906,S0040,Completed,Debit Card,Same Day
O0000062,2025-12-29,C01770,S0068,Completed,Debit Card,Standard
O0000063,2025-02-27,C01405,S0032,Completed,COD,Express
O0000064,2025-06-17,C00218,S0090,Completed,Net Banking,Standard
O0000065,2025-02-08,C01780,S0031,Completed,UPI,Express
O0000066,2025-03-08,C01932,S0017,Completed,COD,Express
O0000067,2026-03-29,C01933,S0009,Completed,Net Banking,Express
O0000068,2026-01-28,C01686,S0087,Completed,COD,Same Day
O0000069,2025-12-02,C01109,S0039,Completed,Debit Card,Same Day
O0000070,2025-10-25,C01717,S0029,Completed,Credit Card,Same Day
O0000071,2024-12-03,C00935,S0012,Completed,UPI,Express
O0000072,2026-05-21,C00947,S0054,Cancelled,Wallet,Standard
O0000073,2025-09-17,C00004,S0005,Completed,UPI,Express
O0000074,2024-07-11,C00090,S0089,Completed,Debit Card,Same Day
O0000075,2025-05-12,C00544,S0056,Completed,Wallet,Same Day
O0000076,2024-12-17,C00133,S0035,Completed,Wallet,Standard
O0000077,2024-04-02,C00453,S0083,Completed,COD,Express
O0000078,2026-04-20,C00594,S0071,Completed,Wallet,Same Day
O0000079,2024-06-20,C01454,S0068,Completed,Wallet,Express
O0000080,2025-09-03,C00545,S0026,Completed,Credit Card,Standard
O0000081,2024-03-24,C01932,S0034,Completed,UPI,Same Day
O0000082,2025-11-09,C01981,S0050,Completed,Credit Card,Standard
O0000083,2025-07-01,C01288,S0021,Completed,Wallet,Express
O0000084,2026-06-01,C01698,S0079,Cancelled,Credit Card,Same Day
O0000085,2026-03-18,C00094,S0075,Completed,COD,Express
O0000086,2025-04-08,C01614,S0079,Completed,Credit Card,Express
O0000087,2026-07-16,C01121,S0073,Completed,UPI,Standard
O0000088,2025-02-17,C01134,S0045,Completed,Wallet,Standard
O0000089,2024-08-02,C01405,S0073,Completed,Net Banking,Express
O0000090,2025-10-02,C00167,S0046,Completed,Wallet,Express
O0000091,2024-07-11,C00428,S0006,Completed,Net Banking,Express
O0000092,2024-08-10,C00380,S0050,Completed,Wallet,Standard
O0000093,2024-08-17,C00747,S0079,Completed,COD,Standard
O0000094,2024-10-30,C00648,S0020,Completed,Wallet,Express
O0000095,2024-06-11,C01536,S0029,Completed,Net Banking,Same Day
O0000096,2026-01-12,C00463,S0054,Completed,Net Banking,Same Day
O0000097,2025-08-31,C00056,S0023,Completed,Credit Card,Standard
O0000098,2025-02-10,C00873,S0028,Completed,Net Banking,Standard
O0000099,2025-12-28,C00276,S0036,Completed,Wallet,Express
O0000100,2025-08-15,C01280,S0079,Completed,Debit Card,Express
O0000101,2024-03-13,C00083,S0073,Completed,Wallet,Same Day
O0000102,2025-07-31,C01461,S0018,Completed,Net Banking,Standard
O0000103,2024-08-23,C01406,S0049,Completed,Debit Card,Same Day
O0000104,2025-01-15,C00808,S0023,Completed,Credit Card,Standard
O0000105,2024-02-07,C00577,S0095,Cancelled,Wallet,Same Day
O0000106,2024-02-16,C01733,S0095,Completed,UPI,Same Day
O0000107,2025-04-15,C01816,S0041,Completed,Net Banking,Same Day
O0000108,2025-06-22,C00728,S0041,Completed,COD,Same Day
O0000109,2024-04-08,C00430,S0090,Completed,Credit Card,Express
O0000110,2025-04-19,C00014,S0080,Completed,Debit Card,Same Day
O0000111,2026-07-07,C01452,S0062,Completed,Credit Card,Express
O0000112,2025-03-17,C00443,S0004,Completed,COD,Express
O0000113,2026-07-04,C00824,S0040,Completed,Wallet,Same Day
O0000114,2024-03-05,C00501,S0066,Completed,COD,Standard
O0000115,2026-01-10,C00937,S0041,Completed,Credit Card,Same Day
O0000116,2024-01-01,C00247,S0021,Completed,Debit Card,Standard
O0000117,2024-10-31,C01403,S0002,Completed,Credit Card,Standard
O0000118,2025-03-11,C00403,S0029,Completed,COD,Same Day
O0000119,2025-11-16,C01245,S0062,Completed,Debit Card,Same Day
O0000120,2025-04-04,C00333,S0024,Completed,COD,Same Day
O0000121,2026-08-02,C00936,S0093,Completed,COD,Same Day
O0000122,2024-08-02,C00234,S0080,Completed,Net Banking,Same Day
O0000123,2025-10-18,C01448,S0044,Completed,COD,Standard
O0000124,2025-10-18,C01770,S0031,Completed,COD,Express
O0000125,2024-05-09,C00284,S0084,Completed,UPI,Same Day
O0000126,2024-03-14,C00121,S0090,Completed,COD,Standard
O0000127,2025-07-24,C01858,S0050,Completed,Debit Card,Standard
O0000128,2024-10-06,C01466,S0017,Completed,Net Banking,Same Day
O0000129,2025-08-18,C01775,S0085,Completed,Credit Card,Express
O0000130,2026-03-30,C01273,S0060,Completed,Debit Card,Express
O0000131,2024-02-28,C01448,S0029,Completed,Net Banking,Same Day
O0000132,2024-02-18,C01049,S0055,Completed,Net Banking,Same Day
O0000133,2025-07-06,C00422,S0062,Completed,Wallet,Same Day
O0000134,2024-09-28,C00119,S0060,Completed,Net Banking,Standard
O0000135,2025-11-08,C00880,S0063,Completed,Debit Card,Same Day
O0000136,2025-11-29,C00071,S0044,Completed,COD,Express
O0000137,2024-09-03,C00177,S0047,Completed,Net Banking,Standard
O0000138,2026-02-18,C00035,S0075,Completed,Wallet,Same Day
O0000139,2026-07-30,C00566,S0061,Completed,COD,Express
O0000140,2024-04-19,C00177,S0077,Completed,COD,Standard
O0000141,2026-06-05,C01290,S0018,Completed,UPI,Same Day
O0000142,2024-10-05,C00813,S0078,Completed,Credit Card,Same Day
O0000143,2024-03-10,C00114,S0056,Completed,Net Banking,Express
O0000144,2026-06-06,C00401,S0079,Completed,Wallet,Standard
O0000145,2024-01-07,C01848,S0033,Completed,Wallet,Express
O0000146,2026-03-11,C01920,S0039,Completed,Net Banking,Standard
O0000147,2025-11-29,C01870,S0069,Completed,Wallet,Standard
O0000148,2025-03-08,C00364,S0010,Completed,Debit Card,Standard
O0000149,2025-03-18,C01770,S0036,Completed,COD,Standard
O0000150,2025-01-06,C00734,S0019,Completed,Debit Card,Same Day
O0000151,2025-11-22,C01274,S0059,Completed,UPI,Standard
O0000152,2026-05-16,C00658,S0030,Completed,UPI,Same Day
O0000153,2025-02-12,C01629,S0093,Pending,Net Banking,Standard
O0000154,2024-09-01,C00142,S0090,Completed,Wallet,Same Day
O0000155,2025-09-30,C00571,S0095,Completed,UPI,Standard
O0000156,2026-07-04,C01597,S0081,Completed,Credit Card,Same Day
O0000157,2025-12-31,C01825,S0099,Cancelled,COD,Same Day
O0000158,2025-06-16,C00267,S0059,Completed,Debit Card,Same Day
O0000159,2026-02-03,C00637,S0093,Completed,UPI,Express
O0000160,2024-07-29,C01669,S0063,Completed,COD,Same Day
O0000161,2024-12-17,C00144,S0048,Completed,COD,Express
O0000162,2024-01-19,C00032,S0030,Completed,Debit Card,Same Day
O0000163,2024-02-07,C01030,S0092,Completed,Wallet,Express
O0000164,2025-04-11,C01043,S0043,Completed,Wallet,Standard
O0000165,2025-07-04,C01613,S0011,Completed,Credit Card,Express
O0000166,2024-12-28,C00659,S0086,Pending,Net Banking,Standard
O0000167,2024-08-13,C00057,S0011,Completed,Net Banking,Standard
O0000168,2025-11-30,C00228,S0018,Completed,Debit Card,Same Day
O0000169,2024-09-19,C01994,S0043,Cancelled,Wallet,Same Day
O0000170,2026-05-17,C00918,S0045,Completed,UPI,Same Day
O0000171,2024-06-16,C01725,S0077,Completed,Wallet,Same Day
O0000172,2026-08-13,C01211,S0098,Completed,Debit Card,Same Day
O0000173,2025-07-01,C00299,S0076,Completed,UPI,Same Day
O0000174,2026-07-15,C00829,S0084,Returned,Debit Card,Same Day
O0000175,2024-01-20,C01719,S0017,Completed,UPI,Express
O0000176,2026-02-19,C01278,S0042,Completed,UPI,Express
O0000177,2024-12-31,C00182,S0087,Completed,UPI,Same Day
O0000178,2024-06-23,C00391,S0089,Completed,UPI,Express
O0000179,2025-07-13,C01718,S0063,Completed,Wallet,Same Day
O0000180,2026-05-05,C00671,S0057,Cancelled,Credit Card,Standard
O0000181,2024-06-13,C01688,S0021,Completed,Debit Card,Same Day
O0000182,2024-04-05,C00708,S0026,Completed,UPI,Same Day
O0000183,2024-03-04,C01751,S0056,Completed,Credit Card,Standard
O0000184,2025-07-21,C01019,S0052,Completed,Wallet,Standard
O0000185,2025-03-07,C00748,S0030,Completed,Net Banking,Standard
O0000186,2024-03-16,C01201,S0034,Completed,Net Banking,Standard
O0000187,2025-04-11,C01341,S0004,Completed,Wallet,Standard
O0000188,2026-03-16,C01804,S0064,Completed,Net Banking,Express
O0000189,2025-04-17,C00590,S0005,Pending,Net Banking,Same Day
O0000190,2025-12-29,C00581,S0093,Completed,Wallet,Standard
O0000191,2025-12-08,C00384,S0054,Completed,Debit Card,Express
O0000192,2024-02-14,C00675,S0076,Completed,UPI,Express
O0000193,2025-09-19,C01587,S0032,Completed,Credit Card,Same Day
O0000194,2025-10-15,C00985,S0039,Completed,Net Banking,Same Day
O0000195,2026-04-08,C00464,S0021,Completed,Net Banking,Standard
O0000196,2026-03-10,C01779,S0060,Cancelled,Credit Card,Same Day
O0000197,2025-04-13,C01954,S0014,Completed,UPI,Express
O0000198,2024-03-25,C00176,S0050,Completed,Debit Card,Same Day
O0000199,2024-12-03,C01704,S0090,Completed,UPI,Same Day
O0000200,2024-12-30,C00449,S0070,Completed,Net Banking,Standard
O0000201,2024-03-31,C01744,S0045,Completed,COD,Express
O0000202,2026-06-27,C01012,S0040,Completed,Credit Card,Same Day
O0000203,2026-01-13,C01764,S0001,Completed,COD,Same Day
O0000204,2024-12-20,C00062,S0096,Completed,Net Banking,Standard
O0000205,2024-08-14,C00248,S0076,Completed,UPI,Same Day
O0000206,2024-05-03,C00665,S0017,Completed,COD,Same Day
O0000207,2024-03-20,C01482,S0083,Completed,Net Banking,Express
O0000208,2025-06-04,C01964,S0067,Completed,Credit Card,Express
O0000209,2025-10-04,C00675,S0035,Completed,Wallet,Express
O0000210,2025-06-09,C00860,S0005,Cancelled,Credit Card,Same Day
O0000211,2025-07-04,C01826,S0021,Completed,COD,Standard
O0000212,2026-05-03,C00859,S0087,Completed,Wallet,Standard
O0000213,2025-10-10,C01225,S0024,Completed,Debit Card,Same Day
O0000214,2026-04-12,C00447,S0065,Completed,Debit Card,Express
O0000215,2025-11-09,C00792,S0083,Completed,Debit Card,Same Day
O0000216,2025-12-30,C01028,S0043,Completed,COD,Same Day
O0000217,2025-09-25,C01586,S0020,Completed,COD,Same Day
O0000218,2025-01-20,C01786,S0093,Completed,COD,Standard
O0000219,2024-06-05,C01871,S0060,Pending,Net Banking,Express
O0000220,2024-07-15,C01746,S0006,Completed,COD,Standard
O0000221,2026-02-21,C00982,S0008,Completed,COD,Express
O0000222,2025-03-05,C01002,S0078,Completed,Debit Card,Standard
O0000223,2025-11-02,C00946,S0050,Completed,Net Banking,Express
O0000224,2024-04-06,C00349,S0039,Completed,COD,Same Day
O0000225,2026-03-24,C01553,S0029,Completed,Credit Card,Standard
O0000226,2025-05-17,C01279,S0015,Returned,Debit Card,Same Day
O0000227,2025-09-08,C00460,S0076,Completed,Net Banking,Express
O0000228,2026-04-08,C00855,S0043,Completed,Credit Card,Same Day
O0000229,2024-01-06,C01481,S0056,Completed,UPI,Express
O0000230,2025-07-01,C00104,S0015,Returned,Debit Card,Standard
O0000231,2024-12-08,C01888,S0038,Completed,COD,Standard
O0000232,2025-06-05,C00655,S0048,Returned,UPI,Standard
O0000233,2024-07-12,C00753,S0036,Completed,COD,Express
O0000234,2025-04-01,C00758,S0098,Completed,Wallet,Same Day
O0000235,2024-11-16,C00330,S0081,Completed,Debit Card,Express
O0000236,2026-06-04,C00207,S0095,Pending,COD,Same Day
O0000237,2024-01-28,C01867,S0045,Completed,Net Banking,Standard
O0000238,2026-06-23,C01983,S0050,Completed,Wallet,Same Day
O0000239,2024-02-15,C01952,S0060,Completed,Debit Card,Same Day
O0000240,2025-12-27,C00159,S0085,Pending,UPI,Standard
O0000241,2026-01-16,C01358,S0081,Completed,Net Banking,Standard
O0000242,2024-03-23,C01911,S0036,Completed,Net Banking,Same Day
O0000243,2025-10-02,C01755,S0018,Completed,Credit Card,Standard
O0000244,2025-06-07,C00496,S0039,Completed,Credit Card,Standard
O0000245,2024-03-19,C01053,S0051,Completed,Debit Card,Standard
O0000246,2025-07-27,C00213,S0060,Completed,Credit Card,Express
O0000247,2025-06-30,C01102,S0073,Completed,Wallet,Same Day
O0000248,2024-12-19,C01251,S0027,Completed,Debit Card,Express
O0000249,2024-01-17,C00282,S0042,Completed,Wallet,Express
O0000250,2025-07-30,C00963,S0085,Completed,Debit Card,Same Day
O0000251,2026-03-18,C00473,S0030,Completed,UPI,Same Day
O0000252,2026-02-28,C01092,S0078,Completed,Wallet,Express
O0000253,2026-04-29,C01823,S0061,Completed,UPI,Same Day
O0000254,2025-09-23,C01648,S0073,Completed,Credit Card,Same Day
O0000255,2025-02-06,C01763,S0091,Returned,Net Banking,Standard
O0000256,2025-03-31,C01220,S0060,Completed,Debit Card,Same Day
O0000257,2026-08-08,C00008,S0013,Completed,Credit Card,Express
O0000258,2026-05-23,C00201,S0036,Completed,Wallet,Standard
O0000259,2025-11-01,C01202,S0049,Completed,Credit Card,Express
O0000260,2025-05-17,C01460,S0080,Completed,Wallet,Standard
O0000261,2026-04-27,C01645,S0041,Completed,Credit Card,Express
O0000262,2024-05-28,C01238,S0054,Completed,Credit Card,Express
O0000263,2026-02-11,C00767,S0097,Returned,COD,Express
O0000264,2024-07-09,C01513,S0024,Completed,Debit Card,Express
O0000265,2025-10-15,C00677,S0099,Completed,Debit Card,Standard
O0000266,2025-02-07,C01896,S0079,Completed,COD,Standard
O0000267,2025-12-11,C01365,S0077,Completed,Credit Card,Standard
O0000268,2024-01-14,C00967,S0025,Completed,Debit Card,Express
O0000269,2024-12-29,C01443,S0067,Completed,Credit Card,Express
O0000270,2025-05-20,C00712,S0038,Completed,Credit Card,Express
O0000271,2026-06-10,C01497,S0046,Completed,UPI,Standard
O0000272,2025-09-28,C00828,S0050,Cancelled,Credit Card,Same Day
O0000273,2025-11-17,C01349,S0015,Completed,Wallet,Same Day
O0000274,2024-07-29,C01738,S0014,Completed,Credit Card,Express
O0000275,2025-06-19,C01875,S0040,Completed,Debit Card,Same Day
O0000276,2024-04-07,C00343,S0060,Completed,Wallet,Express
O0000277,2024-09-01,C00789,S0012,Completed,COD,Same Day
O0000278,2025-08-28,C01694,S0067,Completed,Net Banking,Express
O0000279,2024-12-03,C00929,S0010,Completed,Credit Card,Same Day
O0000280,2026-03-26,C00754,S0081,Completed,Credit Card,Express
O0000281,2025-05-21,C01098,S0015,Cancelled,UPI,Same Day
O0000282,2024-01-28,C00202,S0042,Completed,UPI,Standard
O0000283,2026-08-13,C01939,S0087,Completed,Debit Card,Standard
O0000284,2025-12-31,C01648,S0054,Pending,COD,Same Day
O0000285,2026-05-10,C01994,S0080,Completed,COD,Express
O0000286,2024-05-25,C01478,S0063,Completed,Debit Card,Standard
O0000287,2025-08-20,C01946,S0066,Completed,Debit Card,Express
O0000288,2025-04-01,C00418,S0099,Completed,Wallet,Same Day
O0000289,2025-04-11,C01603,S0099,Completed,Debit Card,Standard
O0000290,2025-04-20,C00363,S0011,Completed,Net Banking,Same Day
O0000291,2025-07-06,C01696,S0053,Completed,COD,Standard
O0000292,2024-02-13,C01370,S0074,Completed,UPI,Same Day
O0000293,2025-06-05,C00801,S0004,Completed,Net Banking,Express
O0000294,2026-04-01,C00489,S0008,Completed,Net Banking,Express
O0000295,2025-12-22,C01541,S0015,Completed,Debit Card,Standard
O0000296,2025-09-10,C01881,S0010,Completed,Credit Card,Express
O0000297,2025-06-28,C00968,S0059,Completed,Debit Card,Express
O0000298,2025-04-19,C01706,S0053,Completed,Credit Card,Same Day
O0000299,2024-01-20,C01759,S0090,Completed,Wallet,Same Day
O0000300,2025-06-05,C00595,S0021,Completed,Credit Card,Express
O0000301,2025-05-24,C00764,S0001,Completed,Wallet,Same Day
O0000302,2025-10-20,C00127,S0049,Completed,Net Banking,Standard
O0000303,2025-11-30,C00209,S0054,Completed,COD,Same Day
O0000304,2024-09-19,C00313,S0026,Completed,UPI,Express
O0000305,2025-12-24,C01187,S0052,Returned,Debit Card,Same Day
O0000306,2025-07-03,C01412,S0044,Completed,COD,Same Day
O0000307,2024-02-18,C01112,S0091,Cancelled,COD,Standard
O0000308,2025-03-11,C01497,S0026,Completed,Debit Card,Same Day
O0000309,2025-06-23,C01140,S0038,Completed,Debit Card,Same Day
O0000310,2024-08-20,C01518,S0019,Completed,Wallet,Express
O0000311,2024-12-05,C00138,S0048,Completed,Credit Card,Standard
O0000312,2025-02-26,C00403,S0075,Completed,COD,Same Day
O0000313,2026-01-31,C01449,S0058,Pending,COD,Standard
O0000314,2025-11-12,C00621,S0064,Completed,UPI,Express
O0000315,2024-09-01,C01587,S0035,Completed,Wallet,Standard
O0000316,2024-09-20,C01544,S0078,Completed,COD,Same Day
O0000317,2025-07-24,C00336,S0079,Completed,COD,Same Day
O0000318,2025-03-22,C00231,S0058,Completed,Wallet,Same Day
O0000319,2025-11-17,C00813,S0098,Completed,UPI,Same Day
O0000320,2024-09-17,C01119,S0097,Completed,UPI,Standard
O0000321,2025-05-14,C00441,S0093,Completed,UPI,Express
O0000322,2025-06-17,C00474,S0075,Cancelled,Debit Card,Same Day
O0000323,2025-01-24,C01338,S0022,Completed,UPI,Same Day
O0000324,2025-05-03,C01074,S0036,Completed,Debit Card,Same Day
O0000325,2026-08-08,C01385,S0063,Pending,COD,Standard
O0000326,2025-08-24,C00843,S0084,Completed,Debit Card,Express
O0000327,2025-10-11,C01915,S0062,Completed,Wallet,Same Day
O0000328,2025-08-04,C01494,S0073,Completed,Net Banking,Same Day
O0000329,2026-02-27,C01988,S0075,Completed,Net Banking,Express
O0000330,2025-11-16,C00301,S0087,Completed,UPI,Express
O0000331,2025-01-14,C00413,S0007,Completed,Wallet,Standard
O0000332,2025-09-04,C00406,S0046,Completed,UPI,Same Day
O0000333,2024-10-29,C01353,S0060,Completed,COD,Express
O0000334,2025-12-12,C01297,S0093,Cancelled,UPI,Standard
O0000335,2024-02-06,C01117,S0038,Completed,Credit Card,Standard
O0000336,2026-06-23,C01514,S0022,Pending,Debit Card,Express
O0000337,2026-07-10,C01066,S0072,Completed,UPI,Express
O0000338,2025-06-29,C01893,S0046,Completed,Wallet,Standard
O0000339,2025-02-14,C01794,S0027,Cancelled,Debit Card,Standard
O0000340,2026-08-10,C01960,S0072,Completed,Net Banking,Standard
O0000341,2026-07-17,C00914,S0036,Completed,Net Banking,Same Day
O0000342,2024-11-29,C01472,S0009,Completed,Wallet,Same Day
O0000343,2025-08-02,C01651,S0018,Completed,Net Banking,Express
O0000344,2024-11-13,C01766,S0093,Completed,Credit Card,Standard
O0000345,2025-03-19,C00579,S0046,Completed,Debit Card,Same Day
O0000346,2026-04-15,C00988,S0036,Completed,Net Banking,Express
O0000347,2024-12-28,C01373,S0014,Completed,Credit Card,Same Day
O0000348,2024-07-15,C00386,S0024,Completed,Net Banking,Express
O0000349,2025-09-15,C00916,S0072,Completed,Net Banking,Express
O0000350,2024-11-26,C01082,S0070,Completed,Wallet,Same Day
O0000351,2024-05-18,C01251,S0001,Completed,Debit Card,Standard
O0000352,2025-10-23,C00799,S0094,Completed,UPI,Standard
O0000353,2024-05-21,C01134,S0094,Completed,UPI,Standard
O0000354,2024-08-26,C01258,S0083,Completed,Debit Card,Express
O0000355,2026-02-08,C00521,S0034,Completed,Credit Card,Express
O0000356,2024-08-31,C01887,S0074,Completed,Wallet,Same Day
O0000357,2026-07-20,C00246,S0075,Completed,Debit Card,Standard
O0000358,2024-07-03,C00355,S0030,Completed,UPI,Same Day
O0000359,2025-12-11,C01655,S0091,Completed,UPI,Standard
O0000360,2025-03-05,C01020,S0087,Completed,Wallet,Same Day
O0000361,2025-11-11,C01577,S0058,Completed,COD,Same Day
O0000362,2025-10-04,C00740,S0055,Completed,Wallet,Same Day
O0000363,2024-11-29,C00939,S0030,Completed,Wallet,Same Day
O0000364,2026-05-16,C00135,S0002,Pending,Wallet,Same Day
O0000365,2024-05-04,C00454,S0018,Completed,Wallet,Standard
O0000366,2024-08-22,C01954,S0035,Completed,COD,Standard
O0000367,2026-07-16,C00318,S0045,Completed,Net Banking,Express
O0000368,2024-01-23,C01277,S0045,Completed,UPI,Same Day
O0000369,2025-09-30,C00263,S0088,Returned,COD,Same Day
O0000370,2025-11-29,C00101,S0004,Completed,COD,Standard
O0000371,2024-11-01,C00991,S0083,Completed,Net Banking,Same Day
O0000372,2026-01-23,C01271,S0049,Completed,Net Banking,Standard
O0000373,2025-09-27,C01308,S0067,Returned,Debit Card,Standard
O0000374,2024-06-23,C01476,S0063,Returned,COD,Express
O0000375,2026-05-06,C01228,S0045,Completed,COD,Same Day
O0000376,2025-07-16,C00945,S0027,Completed,Debit Card,Express
O0000377,2024-10-25,C00362,S0051,Completed,UPI,Same Day
O0000378,2025-09-18,C01837,S0061,Completed,Net Banking,Same Day
O0000379,2024-10-13,C01192,S0069,Completed,Credit Card,Same Day
O0000380,2024-01-30,C01839,S0075,Pending,Wallet,Standard
O0000381,2026-07-13,C00352,S0062,Completed,Debit Card,Standard
O0000382,2024-02-15,C00538,S0051,Completed,Wallet,Standard
O0000383,2024-04-04,C00011,S0064,Completed,Credit Card,Express
O0000384,2025-05-29,C00032,S0093,Completed,Debit Card,Express
O0000385,2026-05-11,C01451,S0058,Completed,Wallet,Standard
O0000386,2026-06-17,C01831,S0069,Completed,Credit Card,Same Day
O0000387,2026-02-13,C01700,S0082,Completed,COD,Express
O0000388,2024-01-25,C00100,S0023,Completed,Wallet,Same Day
O0000389,2026-05-20,C01130,S0037,Completed,UPI,Express
O0000390,2025-09-11,C01525,S0097,Completed,Credit Card,Express
O0000391,2026-01-20,C01720,S0070,Completed,UPI,Same Day
O0000392,2025-09-27,C00210,S0091,Completed,UPI,Same Day
O0000393,2026-07-28,C00315,S0073,Completed,Wallet,Standard
O0000394,2024-05-21,C01437,S0005,Completed,Credit Card,Standard
O0000395,2025-04-11,C00683,S0020,Completed,COD,Same Day
O0000396,2024-04-28,C01533,S0008,Pending,Credit Card,Same Day
O0000397,2026-04-29,C01331,S0056,Completed,Credit Card,Same Day
O0000398,2026-02-07,C00328,S0089,Completed,Debit Card,Same Day
O0000399,2024-09-04,C00474,S0078,Cancelled,UPI,Express
O0000400,2025-07-09,C01509,S0039,Completed,Debit Card,Express
O0000401,2026-08-03,C00118,S0066,Completed,Wallet,Express
O0000402,2024-10-14,C00091,S0026,Completed,Debit Card,Same Day
O0000403,2026-05-31,C01173,S0084,Completed,UPI,Same Day
O0000404,2024-05-09,C00185,S0063,Completed,COD,Standard
O0000405,2025-12-03,C00078,S0007,Completed,Debit Card,Express
O0000406,2024-05-03,C00220,S0010,Completed,Debit Card,Same Day
O0000407,2025-08-25,C00170,S0052,Completed,Net Banking,Express
O0000408,2024-10-06,C01534,S0049,Completed,Credit Card,Express
O0000409,2025-01-03,C00130,S0035,Completed,Debit Card,Standard
O0000410,2025-05-26,C01093,S0056,Completed,Credit Card,Standard
O0000411,2024-06-06,C01173,S0083,Completed,Debit Card,Standard
O0000412,2024-09-06,C00954,S0028,Completed,COD,Same Day
O0000413,2025-12-14,C01515,S0081,Completed,Credit Card,Express
O0000414,2024-08-19,C01549,S0014,Completed,Debit Card,Same Day
O0000415,2026-07-19,C00485,S0063,Completed,COD,Express
O0000416,2024-10-12,C00202,S0050,Completed,Credit Card,Same Day
O0000417,2025-12-05,C00653,S0097,Completed,UPI,Express
O0000418,2024-10-01,C01419,S0089,Completed,Debit Card,Standard
