Order_ID,Product_ID,Seller_ID,Quantity,Discount,Sales,Cost,Profit,Order_Status
O0000012,P0343,S0008,2,0.2,15840.0,11812.58,4027.42,Completed
O0000013,P0053,S0033,3,0.3,11970.0,9596.43,2373.57,Completed
O0000013,P0143,S0033,1,0.13,1653.0,1104.6,548.4,Completed
O0000014,P0251,S0012,4,0,4000,1981.28,2018.72,Completed
O0000014,P0223,S0012,3,0.05,855.0,690.99,164.01,Completed
O0000014,P0016,S0012,4,0.05,239400.0,121315.96,118084.04,Completed
O0000015,P0225,S0013,4,0.08,1472.0,1191.48,280.52,Returned
O0000015,P0058,S0013,2,0.03,12998.0,9492.98,3505.02,Returned
O0000015,P0186,S0013,4,0.1,12240.0,7111.44,5128.56,Returned
O0000016,P0398,S0061,1,0.1,1710.0,1370.03,339.97,Completed
O0000017,P0195,S0025,4,0.03,6984.0,5555.76,1428.24,Completed
O0000018,P0055,S0079,2,0.2,3360.0,2593.9,766.1,Completed
O0000019,P0023,S0015,1,0.08,25576.0,18941.23,6634.77,Completed
O0000019,P0348,S0015,2,0.2,640.0,450.96,189.04,Completed
O0000019,P0039,S0015,3,0.25,33075.0,23406.81,9668.19,Completed
O0000020,P0011,S0053,3,0.2,133920.0,92552.91,41367.09,Completed
O0000020,P0274,S0053,1,0.08,828.0,503.04,324.96,Completed
O0000020,P0292,S0053,2,0.03,776.0,477.82,298.18,Completed
O0000021,P0293,S0034,4,0.2,2240.0,2148.36,91.64,Completed
O0000021,P0115,S0034,1,0.12,1672.0,1310.3,361.7,Completed
O0000021,P0137,S0034,3,0.15,13260.0,9302.67,3957.33,Completed
O0000022,P0077,S0050,2,0.12,52272.0,34984.36,17287.64,Completed
O0000023,P0115,S0063,3,0.1,5130.0,3930.9,1199.1,Completed
O0000023,P0184,S0063,1,0,3300,1597.19,1702.81,Completed
O0000024,P0061,S0018,2,0.2,6240.0,5566.48,673.52,Completed
O0000025,P0086,S0020,2,0,34800,26433.92,8366.08,Pending
O0000025,P0192,S0020,4,0.1,4320.0,2470.08,1849.92,Pending
O0000025,P0408,S0020,1,0.15,850.0,586.14,263.86,Pending
O0000026,P0342,S0007,2,0.05,35720.0,27597.86,8122.14,Completed
O0000026,P0340,S0007,1,0,23200,12341.22,10858.78,Completed
O0000026,P0344,S0007,2,0.25,10950.0,9872.68,1077.32,Completed
O0000026,P0138,S0007,3,0.2,14640.0,9185.61,5454.39,Completed
O0000027,P0265,S0061,3,0.1,4860.0,4058.91,801.09,Completed
O0000028,P0071,S0093,1,0.03,5141.0,3321.74,1819.26,Completed
O0000029,P0256,S0030,1,0.1,450.0,335.5,114.5,Completed
O0000029,P0290,S0030,2,0.08,1840.0,1131.0,709.0,Completed
O0000029,P0139,S0030,4,0.1,3960.0,2487.16,1472.84,Completed
O0000030,P0332,S0055,3,0,13500,7203.81,6296.19,Completed
O0000030,P0121,S0055,2,0,5000,3133.3,1866.7,Completed
O0000031,P0337,S0036,2,0.03,32592.0,20829.32,11762.68,Completed
O0000032,P0031,S0032,2,0.08,13248.0,8442.32,4805.68,Completed
O0000033,P0380,S0021,4,0.25,16200.0,11541.96,4658.04,Completed
O0000033,P0014,S0021,1,0.13,73167.0,64646.39,8520.61,Completed
O0000034,P0064,S0046,3,0.08,8556.0,5330.25,3225.75,Completed
O0000035,P0228,S0075,1,0,1100,668.35,431.65,Completed
O0000035,P0055,S0075,1,0.12,1848.0,1296.95,551.05,Completed
O0000036,P0124,S0025,1,0.16999999999999998,2739.0,2476.78,262.22,Completed
O0000036,P0309,S0025,4,0.15,3740.0,3349.4,390.6,Completed
O0000037,P0403,S0017,3,0.25,10575.0,9199.74,1375.26,Completed
O0000038,P0317,S0002,4,0.15,92140.0,79491.88,12648.12,Completed
O0000038,P0163,S0002,2,0.15,8160.0,5310.44,2849.56,Completed
O0000038,P0408,S0002,2,0.05,1900.0,1172.28,727.72,Completed
O0000038,P0167,S0002,1,0.03,2134.0,1516.48,617.52,Completed
O0000039,P0208,S0017,2,0.15,5610.0,3564.12,2045.88,Completed
O0000039,P0181,S0017,2,0.25,1650.0,1288.24,361.76,Completed
O0000040,P0285,S0087,3,0.12,3168.0,2596.32,571.68,Completed
O0000040,P0344,S0087,3,0.12,19272.0,14809.02,4462.98,Completed
O0000040,P0226,S0087,1,0.1,990.0,619.29,370.71,Completed
O0000040,P0292,S0087,4,0.25,1200.0,955.64,244.36,Completed
O0000041,P0044,S0092,1,0.25,11625.0,9246.89,2378.11,Returned
O0000042,P0099,S0036,3,0.25,3600.0,2604.69,995.31,Completed
O0000042,P0075,S0036,1,0.1,1890.0,1415.45,474.55,Completed
O0000043,P0039,S0053,4,0.15000000000000002,49980.0,31209.08,18770.92,Completed
O0000044,P0201,S0005,1,0.2,1760.0,1355.52,404.48,Completed
O0000044,P0155,S0005,2,0.2,11520.0,7905.38,3614.62,Completed
O0000044,P0199,S0005,4,0.03,12804.0,8221.24,4582.76,Completed
O0000045,P0107,S0066,3,0,22200,13376.7,8823.3,Completed
O0000046,P0307,S0077,2,0.08,920.0,576.68,343.32,Completed
O0000046,P0293,S0077,1,0,700,537.09,162.91,Completed
O0000047,P0116,S0019,2,0.2,6720.0,5468.12,1251.88,Completed
O0000047,P0321,S0019,4,0.25,17400.0,15500.68,1899.32,Completed
O0000047,P0091,S0019,3,0.05,9690.0,7495.53,2194.47,Completed
O0000048,P0319,S0055,2,0.12,28864.0,19594.68,9269.32,Cancelled
O0000048,P0309,S0055,1,0.15,935.0,837.35,97.65,Cancelled
O0000049,P0189,S0009,4,0.03,17848.0,14086.52,3761.48,Completed
O0000050,P0224,S0095,4,0.08,2208.0,1478.36,729.64,Completed
O0000050,P0245,S0095,2,0.1,720.0,494.0,226.0,Completed
O0000050,P0030,S0095,4,0.1,104040.0,64373.72,39666.28,Completed
O0000050,P0046,S0095,1,0.25,3225.0,2279.64,945.36,Completed
O0000051,P0191,S0026,2,0.1,4140.0,3064.34,1075.66,Completed
O0000051,P0082,S0026,3,0.25,49500.0,44159.49,5340.51,Completed
O0000052,P0233,S0051,3,0.2,2160.0,1731.33,428.67,Completed
O0000052,P0386,S0051,4,0.12,20768.0,17066.36,3701.64,Completed
O0000053,P0341,S0018,4,0.08,86480.0,53440.8,33039.2,Returned
O0000053,P0403,S0018,4,0.12,16544.0,12266.32,4277.68,Returned
O0000053,P0093,S0018,2,0.1,11700.0,9494.86,2205.14,Returned
O0000054,P0175,S0063,1,0.08,6072.0,4779.65,1292.35,Pending
O0000054,P0173,S0063,4,0.1,6120.0,3962.96,2157.04,Pending
O0000054,P0177,S0063,1,0.1,3870.0,2657.36,1212.64,Pending
O0000054,P0416,S0063,3,0.03,19788.0,12472.44,7315.56,Pending
O0000055,P0113,S0069,1,0.12,1496.0,1321.74,174.26,Completed
O0000055,P0345,S0069,4,0.1,27000.0,18680.64,8319.36,Completed
O0000055,P0405,S0069,3,0.08,8280.0,6276.06,2003.94,Completed
O0000056,P0176,S0074,3,0.08,6348.0,4158.63,2189.37,Completed
O0000056,P0238,S0074,1,0.1,4320.0,3305.14,1014.86,Completed
O0000056,P0185,S0074,4,0.12,16544.0,12000.04,4543.96,Completed
O0000056,P0418,S0074,4,0.03,4656.0,2470.8,2185.2,Completed
O0000057,P0176,S0016,4,0.05,8740.0,5544.84,3195.16,Completed
O0000057,P0101,S0016,1,0.08,7820.0,4924.02,2895.98,Completed
O0000057,P0361,S0016,1,0.12,7656.0,4357.56,3298.44,Completed
O0000058,P0233,S0058,4,0.15,3060.0,2308.44,751.56,Completed
O0000058,P0387,S0058,3,0.25,16425.0,13655.07,2769.93,Completed
O0000058,P0310,S0058,1,0.08,828.0,624.9,203.1,Completed
O0000058,P0222,S0058,1,0.15,595.0,387.72,207.28,Completed
O0000059,P0221,S0073,1,0.12,2024.0,1514.89,509.11,Completed
O0000059,P0150,S0073,4,0.2,17920.0,11933.56,5986.44,Completed
O0000059,P0178,S0073,3,0.03,8148.0,4217.25,3930.75,Completed
O0000060,P0345,S0018,2,0.15,12750.0,9340.32,3409.68,Completed
O0000061,P0324,S0040,2,0.12,32736.0,27658.7,5077.3,Completed
O0000061,P0158,S0040,3,0.15,1785.0,1411.23,373.77,Completed
O0000062,P0019,S0068,2,0.3,43120.0,30380.98,12739.02,Completed
O0000062,P0256,S0068,4,0.03,1940.0,1342.0,598.0,Completed
O0000062,P0033,S0068,3,0.13,40455.0,25790.4,14664.6,Completed
O0000063,P0092,S0032,2,0,2800,2181.34,618.66,Completed
O0000063,P0048,S0032,2,0.1,3600.0,2366.8,1233.2,Completed
O0000064,P0130,S0090,1,0,1500,842.61,657.39,Completed
O0000064,P0043,S0090,1,0,22800,11507.32,11292.68,Completed
O0000065,P0158,S0031,4,0.2,2240.0,1881.64,358.36,Completed
O0000065,P0119,S0031,3,0.25,13500.0,12070.05,1429.95,Completed
O0000066,P0204,S0017,4,0,4000,2381.84,1618.16,Completed
O0000067,P0128,S0009,4,0.05,16340.0,10882.16,5457.84,Completed
O0000068,P0033,S0087,4,0.15,52700.0,34387.2,18312.8,Completed
O0000068,P0197,S0087,3,0.25,900.0,816.57,83.43,Completed
O0000068,P0184,S0087,1,0.2,2640.0,1597.19,1042.81,Completed
O0000069,P0272,S0039,1,0.25,1725.0,1427.43,297.57,Completed
O0000069,P0046,S0039,1,0.15000000000000002,3655.0,2279.64,1375.36,Completed
O0000069,P0047,S0039,3,0.3,5250.0,3919.17,1330.83,Completed
O0000070,P0416,S0029,3,0.1,18360.0,12472.44,5887.56,Completed
O0000071,P0072,S0012,4,0.05,76380.0,55481.24,20898.76,Completed
O0000071,P0233,S0012,2,0.08,1656.0,1154.22,501.78,Completed
O0000071,P0115,S0012,4,0.05,7220.0,5241.2,1978.8,Completed
O0000072,P0320,S0054,4,0.25,17400.0,15633.16,1766.84,Cancelled
O0000073,P0331,S0005,3,0.03,37830.0,26063.7,11766.3,Completed
O0000073,P0409,S0005,1,0.08,3220.0,2561.99,658.01,Completed
O0000073,P0371,S0005,4,0.15,56780.0,45140.36,11639.64,Completed
O0000074,P0208,S0089,2,0.03,6402.0,3564.12,2837.88,Completed
O0000075,P0285,S0056,2,0.25,1800.0,1730.88,69.12,Completed
O0000075,P0222,S0056,1,0.25,525.0,387.72,137.28,Completed
O0000076,P0378,S0035,2,0.05,18810.0,11070.1,7739.9,Completed
O0000076,P0313,S0035,2,0.2,2400.0,2075.22,324.78,Completed
O0000076,P0146,S0035,3,0.08,8280.0,4628.55,3651.45,Completed
O0000077,P0389,S0083,3,0.03,23280.0,14250.27,9029.73,Completed
O0000077,P0195,S0083,4,0.05,6840.0,5555.76,1284.24,Completed
O0000077,P0307,S0083,3,0.12,1320.0,865.02,454.98,Completed
O0000078,P0204,S0071,3,0,3000,1786.38,1213.62,Completed
O0000078,P0157,S0071,1,0.15,7310.0,4221.08,3088.92,Completed
O0000078,P0377,S0071,1,0.25,8100.0,6261.61,1838.39,Completed
O0000078,P0330,S0071,2,0.15,39950.0,30167.42,9782.58,Completed
O0000079,P0174,S0068,3,0.12,4224.0,3168.27,1055.73,Completed
O0000080,P0055,S0026,1,0.15,1785.0,1296.95,488.05,Completed
O0000081,P0288,S0034,1,0.03,873.0,474.8,398.2,Completed
O0000082,P0077,S0050,4,0.2,95040.0,69968.72,25071.28,Completed
O0000082,P0201,S0050,3,0.25,4950.0,4066.56,883.44,Completed
O0000082,P0146,S0050,4,0.13,10440.0,6171.4,4268.6,Completed
O0000083,P0034,S0021,2,0.05,27740.0,18698.8,9041.2,Completed
O0000083,P0087,S0021,4,0.03,53932.0,40563.32,13368.68,Completed
O0000083,P0127,S0021,3,0.12,10296.0,6118.29,4177.71,Completed
O0000084,P0356,S0079,3,0.12,1056.0,839.67,216.33,Cancelled
O0000084,P0056,S0079,2,0.03,8148.0,5984.42,2163.58,Cancelled
O0000084,P0324,S0079,1,0.05,17670.0,13829.35,3840.65,Cancelled
O0000085,P0004,S0075,3,0.15,159630.0,144782.49,14847.51,Completed
O0000086,P0396,S0079,4,0.03,5432.0,2804.88,2627.12,Completed
O0000086,P0414,S0079,2,0.08,1840.0,1011.46,828.54,Completed
O0000086,P0298,S0079,2,0,1400,685.32,714.68,Completed
O0000086,P0349,S0079,4,0.03,1940.0,1486.32,453.68,Completed
O0000087,P0411,S0073,2,0,8800,5508.38,3291.62,Completed
O0000087,P0419,S0073,1,0,900,582.7,317.3,Completed
O0000087,P0128,S0073,3,0.25,9675.0,8161.62,1513.38,Completed
O0000087,P0187,S0073,2,0.25,1350.0,898.74,451.26,Completed
O0000088,P0394,S0045,4,0.2,9920.0,7284.64,2635.36,Completed
O0000088,P0288,S0045,2,0.2,1440.0,949.6,490.4,Completed
O0000088,P0185,S0045,3,0.2,11280.0,9000.03,2279.97,Completed
O0000088,P0014,S0045,4,0.2,269120.0,258585.56,10534.44,Completed
O0000089,P0042,S0073,4,0.2,34560.0,31140.64,3419.36,Completed
O0000089,P0028,S0073,3,0,191400,131729.67,59670.33,Completed
O0000090,P0261,S0046,3,0.05,3990.0,2528.01,1461.99,Completed
O0000091,P0402,S0006,3,0.2,8160.0,5711.1,2448.9,Completed
O0000092,P0098,S0050,4,0.12,26400.0,15863.44,10536.56,Completed
O0000093,P0099,S0079,3,0.05,4560.0,2604.69,1955.31,Completed
O0000093,P0158,S0079,1,0.08,644.0,470.41,173.59,Completed
O0000094,P0353,S0020,1,0.25,375.0,314.98,60.02,Completed
O0000094,P0399,S0020,1,0,2300,1327.58,972.42,Completed
O0000094,P0203,S0020,1,0.05,855.0,681.07,173.93,Completed
O0000094,P0301,S0020,3,0.25,2025.0,1529.94,495.06,Completed
O0000095,P0245,S0029,4,0,1600,988.0,612.0,Completed
O0000095,P0399,S0029,3,0.03,6693.0,3982.74,2710.26,Completed
O0000096,P0048,S0054,3,0.12,5280.0,3550.2,1729.8,Completed
O0000096,P0385,S0054,2,0.1,9900.0,5613.72,4286.28,Completed
O0000097,P0064,S0023,3,0.08,8556.0,5330.25,3225.75,Completed
O0000098,P0021,S0028,3,0.03,197298.0,122409.81,74888.19,Completed
O0000098,P0123,S0028,2,0,6600,4898.68,1701.32,Completed
O0000099,P0385,S0036,1,0,5500,2806.86,2693.14,Completed
O0000100,P0141,S0079,1,0,3000,2111.78,888.22,Completed
O0000101,P0365,S0073,3,0.12,53328.0,43130.76,10197.24,Completed
O0000101,P0291,S0073,2,0.12,528.0,364.5,163.5,Completed
O0000101,P0253,S0073,2,0.15,850.0,769.54,80.46,Completed
O0000102,P0099,S0018,3,0.25,3600.0,2604.69,995.31,Completed
O0000102,P0163,S0018,1,0.03,4656.0,2655.22,2000.78,Completed
O0000102,P0050,S0018,2,0.15,6460.0,4701.52,1758.48,Completed
O0000102,P0389,S0018,3,0.1,21600.0,14250.27,7349.73,Completed
O0000103,P0398,S0049,3,0.1,5130.0,4110.09,1019.91,Completed
O0000104,P0024,S0023,3,0.08,43608.0,26995.14,16612.86,Completed
O0000105,P0076,S0095,4,0.1,9720.0,6407.92,3312.08,Cancelled
O0000106,P0041,S0095,1,0.1,8280.0,6463.17,1816.83,Completed
O0000107,P0350,S0041,3,0,2700,1944.99,755.01,Completed
O0000108,P0223,S0041,2,0.1,540.0,460.66,79.34,Completed
O0000109,P0310,S0090,4,0.15,3060.0,2499.6,560.4,Completed
O0000109,P0128,S0090,4,0,17200,10882.16,6317.84,Completed
O0000109,P0370,S0090,1,0.08,8188.0,4873.62,3314.38,Completed
O0000110,P0412,S0080,2,0.2,7840.0,4901.6,2938.4,Completed
O0000110,P0061,S0080,4,0.1,14040.0,11132.96,2907.04,Completed
O0000111,P0047,S0062,3,0.03,7275.0,3919.17,3355.83,Completed
O0000111,P0101,S0062,2,0.08,15640.0,9848.04,5791.96,Completed
O0000111,P0052,S0062,3,0.15,3570.0,2163.15,1406.85,Completed
O0000112,P0117,S0004,3,0,17100,8357.52,8742.48,Completed
O0000112,P0121,S0004,2,0.15,4250.0,3133.3,1116.7,Completed
O0000113,P0038,S0040,1,0.03,19303.0,14502.47,4800.53,Completed
O0000113,P0187,S0040,2,0.2,1440.0,898.74,541.26,Completed
O0000113,P0178,S0040,3,0.25,6300.0,4217.25,2082.75,Completed
O0000114,P0120,S0066,4,0.25,23400.0,24080.16,-680.16,Completed
O0000114,P0252,S0066,4,0.15,2040.0,1759.84,280.16,Completed
O0000114,P0306,S0066,1,0.08,552.0,379.04,172.96,Completed
O0000115,P0206,S0041,4,0,4400,3289.6,1110.4,Completed
O0000116,P0215,S0021,2,0.08,1472.0,1237.04,234.96,Completed
O0000116,P0340,S0021,1,0.25,17400.0,12341.22,5058.78,Completed
O0000117,P0254,S0002,3,0.05,855.0,493.5,361.5,Completed
O0000117,P0167,S0002,2,0.05,4180.0,3032.96,1147.04,Completed
O0000117,P0122,S0002,3,0.13,8874.0,6554.64,2319.36,Completed
O0000117,P0062,S0002,2,0,2200,1340.42,859.58,Completed
O0000118,P0182,S0029,4,0.1,11520.0,6633.08,4886.92,Completed
O0000119,P0372,S0062,1,0.2,6240.0,4598.59,1641.41,Completed
O0000119,P0408,S0062,3,0.12,2640.0,1758.42,881.58,Completed
O0000119,P0244,S0062,2,0.25,900.0,662.88,237.12,Completed
O0000119,P0148,S0062,4,0.05,17860.0,9997.8,7862.2,Completed
O0000120,P0264,S0024,2,0.12,2992.0,1754.48,1237.52,Completed
O0000120,P0179,S0024,1,0.25,5100.0,4000.32,1099.68,Completed
O0000120,P0113,S0024,1,0.15,1445.0,1321.74,123.26,Completed
O0000121,P0049,S0093,2,0.08,2208.0,1788.58,419.42,Completed
O0000121,P0361,S0093,3,0.12,22968.0,13072.68,9895.32,Completed
O0000121,P0253,S0093,3,0.15,1275.0,1154.31,120.69,Completed
O0000122,P0268,S0080,3,0.05,3990.0,2847.3,1142.7,Completed
O0000122,P0088,S0080,2,0.2,34080.0,27399.2,6680.8,Completed
O0000122,P0309,S0080,2,0.2,1760.0,1674.7,85.3,Completed
O0000122,P0079,S0080,3,0.1,46710.0,26461.89,20248.11,Completed
O0000123,P0150,S0044,2,0.3,7840.0,5966.78,1873.22,Completed
O0000123,P0162,S0044,2,0.05,2090.0,1423.16,666.84,Completed
O0000124,P0069,S0031,3,0,32700,22753.65,9946.35,Completed
O0000125,P0233,S0084,2,0.05,1710.0,1154.22,555.78,Completed
O0000125,P0015,S0084,3,0.1,135000.0,88578.09,46421.91,Completed
O0000125,P0117,S0084,3,0.03,16587.0,8357.52,8229.48,Completed
O0000125,P0387,S0084,3,0.15,18615.0,13655.07,4959.93,Completed
O0000126,P0250,S0090,3,0,900,490.56,409.44,Completed
O0000126,P0185,S0090,3,0.15,11985.0,9000.03,2984.97,Completed
O0000127,P0364,S0050,2,0.03,47530.0,32897.82,14632.18,Completed
O0000128,P0013,S0017,1,0.08,63848.0,33400.21,30447.79,Completed
O0000128,P0182,S0017,3,0.1,8640.0,4974.81,3665.19,Completed
O0000129,P0141,S0085,1,0.2,2400.0,2111.78,288.22,Completed
O0000130,P0121,S0060,4,0.25,7500.0,6266.6,1233.4,Completed
O0000131,P0096,S0029,1,0.05,7505.0,4287.02,3217.98,Completed
O0000131,P0014,S0029,1,0.08,77372.0,64646.39,12725.61,Completed
O0000132,P0025,S0055,1,0.12,27720.0,22028.49,5691.51,Completed
O0000132,P0415,S0055,4,0.2,14080.0,8882.64,5197.36,Completed
O0000132,P0323,S0055,2,0.12,43296.0,33363.34,9932.66,Completed
O0000133,P0369,S0062,3,0.1,3510.0,2186.52,1323.48,Completed
O0000133,P0034,S0062,4,0.05,55480.0,37397.6,18082.4,Completed
O0000133,P0040,S0062,3,0.08,23184.0,19480.14,3703.86,Completed
O0000133,P0076,S0062,3,0.08,7452.0,4805.94,2646.06,Completed
O0000134,P0229,S0060,4,0.03,5432.0,3918.92,1513.08,Completed
O0000135,P0185,S0063,3,0.2,11280.0,9000.03,2279.97,Completed
O0000136,P0165,S0044,4,0.3,21280.0,20442.36,837.64,Completed
O0000136,P0358,S0044,3,0.08,1656.0,1045.86,610.14,Completed
O0000137,P0359,S0047,2,0.03,1746.0,1149.22,596.78,Completed
O0000138,P0059,S0075,3,0.2,5040.0,3998.97,1041.03,Completed
O0000139,P0287,S0061,4,0.25,1500.0,1234.4,265.6,Completed
O0000139,P0002,S0061,2,0.08,107272.0,56126.56,51145.44,Completed
O0000139,P0036,S0061,4,0.03,34532.0,23994.0,10538.0,Completed
O0000140,P0074,S0077,3,0,47400,27013.11,20386.89,Completed
O0000140,P0256,S0077,3,0.1,1350.0,1006.5,343.5,Completed
O0000140,P0043,S0077,4,0.08,83904.0,46029.28,37874.72,Completed
O0000141,P0218,S0018,4,0.03,3492.0,2089.92,1402.08,Completed
O0000141,P0169,S0018,3,0.05,11400.0,5959.02,5440.98,Completed
O0000142,P0334,S0078,1,0.03,20855.0,12664.74,8190.26,Completed
O0000143,P0239,S0056,3,0.05,7410.0,5578.05,1831.95,Completed
O0000143,P0018,S0056,4,0.2,191360.0,155814.88,35545.12,Completed
O0000144,P0377,S0079,2,0.12,19008.0,12523.22,6484.78,Completed
O0000145,P0130,S0033,2,0.12,2640.0,1685.22,954.78,Completed
O0000145,P0250,S0033,2,0.2,480.0,327.04,152.96,Completed
O0000145,P0405,S0033,3,0.12,7920.0,6276.06,1643.94,Completed
O0000146,P0014,S0039,4,0,336400,258585.56,77814.44,Completed
O0000147,P0088,S0069,3,0.2,51120.0,41098.8,10021.2,Completed
O0000147,P0167,S0069,2,0.15000000000000002,3740.0,3032.96,707.04,Completed
O0000147,P0409,S0069,3,0.05,9975.0,7685.97,2289.03,Completed
O0000147,P0254,S0069,3,0.05,855.0,493.5,361.5,Completed
O0000148,P0228,S0010,2,0.25,1650.0,1336.7,313.3,Completed
O0000148,P0052,S0010,2,0.05,2660.0,1442.1,1217.9,Completed
O0000148,P0316,S0010,3,0.08,44712.0,37343.88,7368.12,Completed
O0000149,P0326,S0036,4,0.15,48960.0,36555.36,12404.64,Completed
O0000149,P0044,S0036,3,0.2,37200.0,27740.67,9459.33,Completed
O0000149,P0292,S0036,4,0.15,1360.0,955.64,404.36,Completed
O0000149,P0007,S0036,2,0.08,159712.0,85657.82,74054.18,Completed
O0000150,P0337,S0019,4,0.03,65184.0,41658.64,23525.36,Completed
O0000151,P0117,S0059,1,0.1,5130.0,2785.84,2344.16,Completed
O0000152,P0070,S0030,4,0.03,21728.0,10974.04,10753.96,Completed
O0000152,P0240,S0030,3,0.08,7452.0,3958.02,3493.98,Completed
O0000153,P0189,S0093,3,0.1,12420.0,10564.89,1855.11,Pending
O0000153,P0093,S0093,1,0.15,5525.0,4747.43,777.57,Pending
O0000153,P0177,S0093,3,0.08,11868.0,7972.08,3895.92,Pending
O0000153,P0195,S0093,1,0.2,1440.0,1388.94,51.06,Pending
O0000154,P0031,S0090,4,0.1,25920.0,16884.64,9035.36,Completed
O0000154,P0236,S0090,2,0,1400,774.52,625.48,Completed
O0000154,P0288,S0090,1,0.25,675.0,474.8,200.2,Completed
O0000155,P0376,S0095,4,0.15,22100.0,14668.96,7431.04,Completed
O0000155,P0136,S0095,2,0.1,7200.0,6023.4,1176.6,Completed
O0000155,P0060,S0095,1,0.05,4085.0,2279.98,1805.02,Completed
O0000156,P0181,S0081,3,0.12,2904.0,1932.36,971.64,Completed
O0000156,P0292,S0081,3,0.25,900.0,716.73,183.27,Completed
O0000156,P0221,S0081,1,0.12,2024.0,1514.89,509.11,Completed
O0000156,P0299,S0081,4,0.15,1020.0,820.64,199.36,Completed
O0000157,P0132,S0099,2,0.15000000000000002,4080.0,3033.42,1046.58,Cancelled
O0000157,P0233,S0099,4,0.08,3312.0,2308.44,1003.56,Cancelled
O0000157,P0027,S0099,4,0.13,140244.0,81592.68,58651.32,Cancelled
O0000158,P0004,S0059,1,0.03,60722.0,48260.83,12461.17,Completed
O0000158,P0123,S0059,1,0.2,2640.0,2449.34,190.66,Completed
O0000159,P0331,S0093,2,0.25,19500.0,17375.8,2124.2,Completed
O0000160,P0082,S0063,2,0.08,40480.0,29439.66,11040.34,Completed
O0000160,P0274,S0063,4,0.25,2700.0,2012.16,687.84,Completed
O0000160,P0024,S0063,1,0.1,14220.0,8998.38,5221.62,Completed
O0000161,P0244,S0048,3,0.15,1530.0,994.32,535.68,Completed
O0000162,P0303,S0030,4,0.12,2816.0,1801.16,1014.84,Completed
O0000163,P0196,S0092,4,0.12,5984.0,5011.88,972.12,Completed
O0000163,P0239,S0092,3,0.15,6630.0,5578.05,1051.95,Completed
O0000164,P0234,S0043,1,0.05,4180.0,3393.15,786.85,Completed
O0000164,P0341,S0043,2,0.2,37600.0,26720.4,10879.6,Completed
O0000164,P0140,S0043,2,0.08,11776.0,8622.06,3153.94,Completed
O0000165,P0002,S0011,2,0.05,110770.0,56126.56,54643.44,Completed
O0000166,P0016,S0086,2,0.08,115920.0,60657.98,55262.02,Pending
O0000167,P0044,S0011,2,0.05,29450.0,18493.78,10956.22,Completed
O0000168,P0204,S0018,4,0.1,3600.0,2381.84,1218.16,Completed
O0000169,P0289,S0043,3,0.03,1164.0,606.51,557.49,Cancelled
O0000169,P0410,S0043,3,0.1,1080.0,727.92,352.08,Cancelled
O0000169,P0143,S0043,2,0.12,3344.0,2209.2,1134.8,Cancelled
O0000170,P0369,S0045,4,0.25,3900.0,2915.36,984.64,Completed
O0000170,P0234,S0045,1,0.15,3740.0,3393.15,346.85,Completed
O0000170,P0005,S0045,2,0.15,59500.0,42370.72,17129.28,Completed
O0000171,P0118,S0077,3,0.15,5355.0,4528.05,826.95,Completed
O0000171,P0150,S0077,4,0.15,19040.0,11933.56,7106.44,Completed
O0000172,P0122,S0098,2,0.05,6460.0,4369.76,2090.24,Completed
O0000173,P0096,S0076,3,0.1,21330.0,12861.06,8468.94,Completed
O0000174,P0260,S0084,3,0,2100,1332.27,767.73,Returned
